,block,stimulus_block,stimulus_side,key_press,responses,rt,stimulus,stimulus_2,stimulus_block,stimulus_side,sub_block,subject,tags1,tags2,time_elapsed,trial_type
52,2,A,0,K,,1385.3,f42887_e_005 copy.png,f42887_e_266 copy.png,A,0,0,5,['A'],['C'],161189,bRMS
53,2,A,1,D,,1235,f42887_e_127 copy.png,f42887_e_069 copy.png,A,1,0,5,['A'],['C'],163005,bRMS
54,2,A,1,K,,1704.1,f42887_e_127 copy.png,f42887_e_238 copy.png,A,1,0,5,['A'],['C'],165358,bRMS
55,2,A,1,K,,1339.8,f42887_e_025 copy.png,f42887_e_240 copy.png,A,1,0,5,['A'],['C'],167338,bRMS
56,2,A,1,K,,1721.5,f42887_e_121 copy.png,f42887_e_176 copy.png,A,1,0,5,['A'],['C'],169658,bRMS
57,2,A,1,K,,1343.1,f42887_e_252 copy.png,f42887_e_291 copy.png,A,1,0,5,['A'],['C'],171624,bRMS
58,2,A,0,D,,1342.2,f42887_e_064 copy.png,f42887_e_179 copy.png,A,0,0,5,['A'],['C'],173560,bRMS
59,2,A,1,K,,2423.4,f42887_e_025 copy.png,f42887_e_068 copy.png,A,1,0,5,['A'],['C'],176572,bRMS
60,2,A,1,K,,1312.6,f42887_e_156 copy.png,f42887_e_201 copy.png,A,1,0,5,['A'],['C'],178516,bRMS
61,2,A,1,K,,1201.7,f42887_e_298 copy.png,f42887_e_210 copy.png,A,1,0,5,['A'],['C'],180313,bRMS
62,2,A,0,K,,1775.8,f42887_e_252 copy.png,f42887_e_197 copy.png,A,0,0,5,['A'],['C'],182695,bRMS
63,4,B,0,K,,1517.2,f42887_e_056 copy.png,f42887_e_189 copy.png,B,0,0,5,['B'],['D'],184799,bRMS
64,4,B,0,K,,1537.9,f42887_e_180 copy.png,f42887_e_278 copy.png,B,0,0,5,['B'],['D'],186957,bRMS
65,4,B,0,K,,1418.5,f42887_e_080 copy.png,f42887_e_178 copy.png,B,0,0,5,['B'],['D'],188988,bRMS
66,4,B,1,K,,1083.4,f42887_e_004 copy.png,f42887_e_038 copy.png,B,1,0,5,['B'],['D'],190729,bRMS
67,4,B,0,K,,1339.2,f42887_e_295 copy.png,f42887_e_237 copy.png,B,0,0,5,['B'],['D'],192688,bRMS
68,4,B,1,K,,1137.4,f42887_e_054 copy.png,f42887_e_241 copy.png,B,1,0,5,['B'],['D'],194428,bRMS
69,4,B,1,K,,1202.5,f42887_e_065 copy.png,f42887_e_043 copy.png,B,1,0,5,['B'],['D'],196243,bRMS
70,4,B,1,K,,1239.5,f42887_e_231 copy.png,f42887_e_293 copy.png,B,1,0,5,['B'],['D'],198090,bRMS
71,4,B,1,K,,1469.8,f42887_e_287 copy.png,f42887_e_165 copy.png,B,1,0,5,['B'],['D'],200182,bRMS
72,4,B,1,K,,1318,f42887_e_120 copy.png,f42887_e_296 copy.png,B,1,0,5,['B'],['D'],202080,bRMS
73,4,B,0,K,,1211.3,f42887_e_016 copy.png,f42887_e_152 copy.png,B,0,0,5,['B'],['D'],203919,bRMS
74,4,B,1,K,,1374.3,f42887_e_161 copy.png,f42887_e_028 copy.png,B,1,0,5,['B'],['D'],205885,bRMS
75,4,B,1,K,,1515.3,f42887_e_191 copy.png,f42887_e_103 copy.png,B,1,0,5,['B'],['D'],208086,bRMS
76,4,B,0,K,,1425.8,f42887_e_166 copy.png,f42887_e_096 copy.png,B,0,0,5,['B'],['D'],210132,bRMS
77,4,B,1,K,,1437.2,f42887_e_289 copy.png,f42887_e_122 copy.png,B,1,0,5,['B'],['D'],212201,bRMS
78,4,B,0,K,,1451.7,f42887_e_235 copy.png,f42887_e_157 copy.png,B,0,0,5,['B'],['D'],214263,bRMS
79,4,B,0,K,,1342.1,f42887_e_200 copy.png,f42887_e_218 copy.png,B,0,0,5,['B'],['D'],216191,bRMS
80,7,D,1,K,,1909.6,f42887_e_178 copy.png,f42887_e_044 copy.png,D,1,0,5,['D'],['E'],218727,bRMS
81,7,D,1,K,,1670.2,f42887_e_103 copy.png,f42887_e_290 copy.png,D,1,0,5,['D'],['E'],221017,bRMS
82,7,D,1,K,,2006.9,f42887_e_043 copy.png,f42887_e_051 copy.png,D,1,0,5,['D'],['E'],223611,bRMS
83,7,D,1,K,,2012.8,f42887_e_152 copy.png,f42887_e_146 copy.png,D,1,0,5,['D'],['E'],226264,bRMS
84,7,D,0,D,,2198.9,f42887_e_218 copy.png,f42887_e_209 copy.png,D,0,0,5,['D'],['E'],229122,bRMS
85,7,D,0,D,,1311.4,f42887_e_096 copy.png,f42887_e_146 copy.png,D,0,0,5,['D'],['E'],231051,bRMS
86,7,D,1,K,,1363.7,f42887_e_157 copy.png,f42887_e_085 copy.png,D,1,0,5,['D'],['E'],232989,bRMS
87,7,D,0,K,,1529.6,f42887_e_165 copy.png,f42887_e_209 copy.png,D,0,0,5,['D'],['E'],235197,bRMS
88,7,D,0,K,,1646.6,f42887_e_122 copy.png,f42887_e_051 copy.png,D,0,0,5,['D'],['E'],237457,bRMS
89,7,D,0,K,,1577.9,f42887_e_296 copy.png,f42887_e_145 copy.png,D,0,0,5,['D'],['E'],239679,bRMS
90,7,D,0,K,,1464.3,f42887_e_241 copy.png,f42887_e_169 copy.png,D,0,0,5,['D'],['E'],241749,bRMS
91,7,D,0,K,,1586.1,f42887_e_237 copy.png,f42887_e_167 copy.png,D,0,0,5,['D'],['E'],243946,bRMS
92,7,D,1,K,,1433.1,f42887_e_293 copy.png,f42887_e_285 copy.png,D,1,0,5,['D'],['E'],245985,bRMS
93,7,D,1,K,,1483.2,f42887_e_189 copy.png,f42887_e_099 copy.png,D,1,0,5,['D'],['E'],248138,bRMS
94,7,D,1,K,,1507.2,f42887_e_038 copy.png,f42887_e_040 copy.png,D,1,0,5,['D'],['E'],250271,bRMS
95,7,D,0,K,,1062.2,f42887_e_028 copy.png,f42887_e_213 copy.png,D,0,0,5,['D'],['E'],251950,bRMS
96,7,D,1,K,,985.7,f42887_e_278 copy.png,f42887_e_000 copy.png,D,1,0,5,['D'],['E'],253534,bRMS
97,5,C,1,K,,1293.1,f42887_e_067 copy.png,f42887_e_165 copy.png,C,1,0,5,['C'],['D'],255414,bRMS
98,5,C,1,K,,1044.4,f42887_e_068 copy.png,f42887_e_122 copy.png,C,1,0,5,['C'],['D'],257058,bRMS
99,5,C,1,K,,941,f42887_e_265 copy.png,f42887_e_189 copy.png,C,1,0,5,['C'],['D'],258648,bRMS
100,5,C,1,K,,1569.3,f42887_e_176 copy.png,f42887_e_278 copy.png,C,1,0,5,['C'],['D'],260837,bRMS
101,5,C,1,D,,1573.2,f42887_e_197 copy.png,f42887_e_178 copy.png,C,1,0,5,['C'],['D'],262999,bRMS
102,5,C,0,K,,1336.8,f42887_e_069 copy.png,f42887_e_237 copy.png,C,0,0,5,['C'],['D'],264927,bRMS
103,5,C,0,K,,1215.4,f42887_e_179 copy.png,f42887_e_296 copy.png,C,0,0,5,['C'],['D'],266742,bRMS
104,5,C,0,K,,1305.3,f42887_e_291 copy.png,f42887_e_157 copy.png,C,0,0,5,['C'],['D'],268643,bRMS
105,5,C,1,K,,1304.3,f42887_e_210 copy.png,f42887_e_096 copy.png,C,1,0,5,['C'],['D'],270570,bRMS
106,5,C,0,K,,1187.9,f42887_e_134 copy.png,f42887_e_241 copy.png,C,0,0,5,['C'],['D'],272344,bRMS
107,5,C,1,D,,1863.9,f42887_e_024 copy.png,f42887_e_043 copy.png,C,1,0,5,['C'],['D'],274909,bRMS
108,5,C,0,K,,1145.6,f42887_e_266 copy.png,f42887_e_028 copy.png,C,0,0,5,['C'],['D'],276632,bRMS
109,5,C,1,D,,1175.3,f42887_e_240 copy.png,f42887_e_293 copy.png,C,1,0,5,['C'],['D'],278403,bRMS
110,5,C,1,D,,1492.7,f42887_e_212 copy.png,f42887_e_152 copy.png,C,1,0,5,['C'],['D'],280500,bRMS
111,5,C,0,K,,1252,f42887_e_021 copy.png,f42887_e_218 copy.png,C,0,0,5,['C'],['D'],282369,bRMS
112,5,C,1,D,,1250.3,f42887_e_201 copy.png,f42887_e_103 copy.png,C,1,0,5,['C'],['D'],284237,bRMS
113,5,C,0,K,,1294.5,f42887_e_273 copy.png,f42887_e_038 copy.png,C,0,0,5,['C'],['D'],286116,bRMS
114,6,C,1,D,,1383.9,f42887_e_067 copy.png,f42887_e_215 copy.png,C,1,0,5,['C'],['E'],288082,bRMS
115,6,C,1,D,,1337.4,f42887_e_134 copy.png,f42887_e_146 copy.png,C,1,0,5,['C'],['E'],290039,bRMS
116,6,C,1,D,,1663.5,f42887_e_197 copy.png,f42887_e_051 copy.png,C,1,0,5,['C'],['E'],292302,bRMS
117,6,C,0,K,,721.7,f42887_e_238 copy.png,f42887_e_000 copy.png,C,0,0,5,['C'],['E'],293678,bRMS
118,6,C,0,K,,1467,f42887_e_176 copy.png,f42887_e_290 copy.png,C,0,0,5,['C'],['E'],295768,bRMS
119,6,C,1,D,,1165.1,f42887_e_291 copy.png,f42887_e_051 copy.png,C,1,0,5,['C'],['E'],297538,bRMS
120,6,C,1,D,,1517.1,f42887_e_265 copy.png,f42887_e_146 copy.png,C,1,0,5,['C'],['E'],299702,bRMS
121,6,C,1,D,,1545.7,f42887_e_266 copy.png,f42887_e_285 copy.png,C,1,0,5,['C'],['E'],301866,bRMS
122,6,C,1,D,,1527.2,f42887_e_024 copy.png,f42887_e_209 copy.png,C,1,0,5,['C'],['E'],304008,bRMS
123,6,C,0,K,,1185.2,f42887_e_273 copy.png,f42887_e_167 copy.png,C,0,0,5,['C'],['E'],305863,bRMS
124,6,C,0,K,,1402.8,f42887_e_210 copy.png,f42887_e_145 copy.png,C,0,0,5,['C'],['E'],307910,bRMS
125,6,C,1,D,,1462.4,f42887_e_068 copy.png,f42887_e_044 copy.png,C,1,0,5,['C'],['E'],309986,bRMS
126,6,C,0,K,,2303.4,f42887_e_069 copy.png,f42887_e_209 copy.png,C,0,0,5,['C'],['E'],312896,bRMS
127,6,C,1,D,,1173.9,f42887_e_212 copy.png,f42887_e_085 copy.png,C,1,0,5,['C'],['E'],314736,bRMS
128,6,C,1,D,,1329,f42887_e_240 copy.png,f42887_e_169 copy.png,C,1,0,5,['C'],['E'],316666,bRMS
